strain,date,region,host,year,country,genotype,place_of_collection,author,accession
AY968065.1,1948-12-31 (1948-02-09 - 1948-12-31),SSAf,Homo sapiens,1948,Uganda,EA,Uganda,"von Lindern,J.J., Aroner,S., Davis,C.T. and Barrett,A.D.T.",
MF004383.1,1955-11-12 (1945-01-12 - 1960-03-01),NAf,Homo sapiens,1961,Sudan,ECA,Sudan,"Baronti,C., Piorkowski,G., Touret,F., Gilles,M., Pastorino,B., Querat,G., Placidi,C., Priet,S. and de Lamballerie,X.",
DQ235229.1,1961-12-31 (1961-03-20 - 1961-12-31),SSAf,unknown_host,1961,Ethiopia,ECA,Ethiopia,"von Lindern,J.J., Aroner,S., Barrett,N., Wicker,J.A., Davis,C.T. and Barrett,A.D.T.",
MW960207.1,2018-01-01 (2018-01-01 - 2018-11-25),SSAf,Homo sapiens,2018,Central_African_Republic,ECA,Central_African_Republic,"Simo Tchetgna,H., Descorps-Declere,S., Selekon,B., Garba-Ouangole,S., Konamna,X., Soungouza,M., Tekpa,G., Somse,P., Nakoune,E. and Berthet,N.",
OQ077983.1,2012-01-01 (2012-01-01 - 2012-11-16),SSAf,Homo sapiens,2012,Uganda,ECA,Uganda,"Ashraf,S., Jerome,H., Bugembe,D.L., Ssemwanga,D., Byaruhanga,T., Kayiwa,J.T., Downing,R., Salazar-Gonzalez,J.F., Salazar,M.G., Shepherd,J.G., Davis,C., Logan,N., Sreenu,V.B., Wilkie,G.S., da Silva Filipe,A., Ssekagiri,A., Namuwulya,P., Bukenya,H., Kigozi,B., McConnell,W.W., Willett,B.J., Balinandi,S., Lutwama,J., Kaleebu,P., Bwogi,J. and Thomson,E.C.",
JN620362.1,2010-10-31 (2010-10-04 - 2010-10-31),SSAf,Homo sapiens,2010,Uganda,ECA,Uganda,"McMullan,L.K., Frace,M., Sammons,S.A., Shoemaker,T., Balinandi,S., Wamala,J.F., Lutwama,J.J., Downing,R.G., Stroeher,U., MacNeil,A. and Nichol,S.T.",
AY968064.1,1971-12-31 (1971-06-14 - 1971-12-31),SSAf,Homo sapiens,1971,Angola,A,Angola,"von Lindern,J.J., Aroner,S., Davis,C.T. and Barrett,A.D.T.",
KX010994.1,3/11/2016,EAs,Homo sapiens,2016,China,A,China,"Pan,Y., Cui,S., Huo,D., Lyu,Y., Li,J., Chen,L., Wang,Q., Tian,L., Dou,X., Li,X., Sun,Y., Lu,G., Du,Y., Li,S. and Li,X.",
KX027336.1,3/19/2016,EAs,Homo sapiens,2016,China,A,China,"Cui,S., Wang,Q., Li,J., Chen,L., Li,X., Yang,P., Dou,X., Huo,D., Shi,W., Wu,S., Zhang,X., Zheng,Y., Liang,Z., Lyu,Y., Lu,G. and Du,Y.",
KX982182.1,3/16/2016,SSAf,Homo sapiens,2016,Angola,A,Angola,"Simon-Loriere,E., Faye,O., Prot,M., Casademont,I., Fall,G., Fernandez-Garcia,M.D., Diagne,M.M., Kipela,J.M., Fall,I.S., Holmes,E.C., Sakuntabhai,A. and Sall,A.A.",
MG589641.1,3/18/2016,EAs,Homo sapiens,2016,China,A,China,"Li,M.",
KU949599.1,3/9/2016,EAs,unknown_host,2016,China,A,China,"Zhang,W., Wang,W., Dai,F., Huang,Q., Lu,H., Zhou,B., Zhu,Z., Xiao,H., Song,Z., Zhang,X., Yuan,Z. and Hu,Y.",
KY873606.1,3/14/2016,EAs,Homo sapiens,2016,China,A,China,"Liu,L., Zhang,Y., Li,A., Zhang,S., Li,C., Zhang,Q., Liang,M., Ma,X. and Li,D.",
MH633691.1,2016-12-31 (2016-07-01 - 2016-12-31),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
MH633685.1,2016-01-01 (2016-01-01 - 2016-07-31),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
MH633687.1,2016-12-31 (2016-09-19 - 2016-12-31),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
